Params,Batch4,Batch5,Batch5
231682,0.227,0.262,0.283
1232682,0.372,0.419,0.445
2233682,0.473,0.550,0.788
3234682,0.657,0.958,0.970
4235682,0.927,1.259,1.656
5236682,1.113,1.529,2.104
6237682,1.428,2.459,2.189
7238682,2.291,3.524,3.731
8239682,2.723,3.566,3.432
9240682,9.656,10.935,11.122
10241682,10.126,12.769,12.590
11242682,10.388,15.375,12.525
12243682,12.072,15.511,15.464
13244682,15.874,15.703,14.869
14245682,18.096,15.334,16.318
15246682,16.859,17.603,18.540
16247682,19.082,19.455,18.652
17248682,19.361,19.505,21.867
18249682,21.443,22.191,20.734
19250682,22.761,22.937,22.214
20251682,22.261,24.433,24.465
21252682,23.649,26.413,24.948
22253682,29.624,24.582,24.392
23254682,28.162,26.793,26.739
24255682,29.520,28.308,27.811
25256682,30.313,31.776,27.162
26257682,27.620,31.707,33.355
27258682,31.609,31.565,33.122
28259682,32.857,32.177,34.755
29260682,34.074,33.943,35.283
30261682,34.982,36.389,35.022
31262682,32.802,37.847,39.355
32263682,35.537,38.477,39.701
33264682,37.541,40.209,39.249
34265682,39.616,40.172,40.913
35266682,40.783,41.393,42.060
36267682,41.807,41.714,43.742
37268682,42.144,44.233,44.986
38269682,42.083,46.103,46.344
39270682,45.452,45.212,47.077